               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.046178,            0.041682,             0.02411,             0.64058,             0.51601,             0.56753,             0.34236,            0.044621,            0.020059,            0.017753,            0.008284,            0.008284,            0.008284
                  54,            0.046042,            0.041813,            0.023727,             0.64842,             0.51639,             0.56888,             0.34365,            0.044585,            0.020045,            0.017694,            0.008251,            0.008251,            0.008251
                  55,            0.046084,            0.041828,            0.023775,             0.65301,             0.51547,             0.57011,              0.3448,            0.044548,            0.020034,            0.017647,            0.008218,            0.008218,            0.008218
                  56,            0.046154,            0.041605,            0.023624,             0.65144,              0.5152,             0.57132,             0.34574,            0.044496,            0.020016,            0.017594,            0.008185,            0.008185,            0.008185
                  57,            0.046069,            0.042011,            0.023796,             0.65274,             0.51753,             0.57267,             0.34687,            0.044449,                0.02,            0.017549,            0.008152,            0.008152,            0.008152
                  58,            0.045873,             0.04151,            0.023702,             0.65235,             0.52018,             0.57373,             0.34778,            0.044408,            0.019988,            0.017527,            0.008119,            0.008119,            0.008119
                  59,             0.04592,            0.041765,            0.023144,              0.6562,             0.51561,             0.57439,             0.34874,            0.044374,            0.019972,            0.017503,            0.008086,            0.008086,            0.008086
                  60,            0.045554,            0.041752,            0.023138,             0.66249,             0.51254,             0.57551,              0.3497,             0.04434,            0.019957,            0.017456,            0.008053,            0.008053,            0.008053
                  61,            0.045499,            0.041389,             0.02298,             0.66134,             0.51399,             0.57617,             0.34998,            0.044311,            0.019944,            0.017427,             0.00802,             0.00802,             0.00802
                  62,            0.045428,            0.041357,            0.023126,             0.66495,             0.51439,             0.57773,             0.35123,            0.044277,            0.019931,            0.017384,            0.007987,            0.007987,            0.007987
                  63,            0.045688,             0.04131,            0.022983,             0.66606,             0.51342,             0.57863,             0.35223,            0.044248,            0.019917,             0.01734,            0.007954,            0.007954,            0.007954
                  64,            0.045393,            0.040843,            0.023113,                0.67,             0.51428,             0.57978,             0.35337,            0.044225,            0.019904,            0.017316,            0.007921,            0.007921,            0.007921
                  65,            0.045413,            0.041538,            0.022868,             0.67212,             0.51521,              0.5808,             0.35389,            0.044194,            0.019893,            0.017285,            0.007888,            0.007888,            0.007888
                  66,             0.04546,            0.041432,             0.02289,             0.67081,              0.5174,             0.58157,             0.35478,            0.044173,            0.019881,            0.017259,            0.007855,            0.007855,            0.007855
                  67,            0.045463,            0.040971,            0.022782,             0.66901,             0.52171,             0.58252,             0.35514,            0.044148,             0.01987,            0.017237,            0.007822,            0.007822,            0.007822
                  68,            0.045517,            0.040976,            0.022778,             0.66585,             0.52411,             0.58331,             0.35553,            0.044124,             0.01986,            0.017214,            0.007789,            0.007789,            0.007789
                  69,            0.045437,            0.040988,            0.022744,             0.66746,             0.52565,             0.58414,             0.35606,            0.044102,            0.019852,             0.01719,            0.007756,            0.007756,            0.007756
                  70,            0.045175,            0.041108,             0.02272,             0.66868,             0.52395,             0.58485,              0.3567,             0.04408,            0.019842,            0.017159,            0.007723,            0.007723,            0.007723
                  71,            0.045187,            0.040877,            0.022378,             0.66834,             0.52683,             0.58554,              0.3571,             0.04406,            0.019831,            0.017143,             0.00769,             0.00769,             0.00769
                  72,            0.044969,            0.041097,            0.022229,             0.66886,             0.52802,             0.58635,             0.35753,            0.044038,            0.019823,            0.017126,            0.007657,            0.007657,            0.007657
                  73,            0.045111,            0.041105,            0.022712,             0.66721,             0.52973,             0.58705,             0.35822,            0.044013,            0.019813,             0.01711,            0.007624,            0.007624,            0.007624
                  74,            0.045009,            0.040844,            0.022341,             0.66898,             0.52958,             0.58763,             0.35869,             0.04399,            0.019803,            0.017082,            0.007591,            0.007591,            0.007591
                  75,            0.045064,            0.040778,            0.022366,             0.67092,             0.52899,             0.58792,             0.35934,            0.043969,            0.019794,            0.017054,            0.007558,            0.007558,            0.007558
                  76,            0.044892,            0.040915,             0.02224,             0.67205,             0.52839,             0.58862,             0.35975,            0.043945,            0.019785,            0.017023,            0.007525,            0.007525,            0.007525
                  77,            0.044874,            0.041029,            0.021885,             0.67392,             0.52869,             0.58921,             0.36009,            0.043922,            0.019775,            0.016997,            0.007492,            0.007492,            0.007492
                  78,            0.044917,            0.041335,            0.021938,              0.6742,             0.52863,             0.58927,             0.36044,            0.043898,            0.019765,            0.016971,            0.007459,            0.007459,            0.007459
                  79,             0.04482,            0.040972,            0.021817,             0.67463,             0.52977,             0.58987,             0.36102,            0.043874,            0.019755,            0.016946,            0.007426,            0.007426,            0.007426
                  80,            0.044742,            0.040726,            0.021868,             0.67384,             0.53033,             0.59034,              0.3616,            0.043852,            0.019745,             0.01692,            0.007393,            0.007393,            0.007393
                  81,            0.044761,             0.04083,             0.02181,             0.66873,             0.53161,             0.59127,             0.36199,            0.043829,            0.019736,            0.016901,             0.00736,             0.00736,             0.00736
                  82,            0.044617,            0.041045,            0.021808,             0.66862,             0.53151,             0.59167,             0.36259,            0.043807,            0.019726,            0.016878,            0.007327,            0.007327,            0.007327
                  83,            0.044582,            0.040519,            0.021892,             0.67157,             0.53117,             0.59207,             0.36274,            0.043786,            0.019715,            0.016848,            0.007294,            0.007294,            0.007294
                  84,            0.044451,            0.040684,            0.021497,             0.66961,             0.53288,             0.59274,             0.36342,            0.043768,            0.019705,            0.016815,            0.007261,            0.007261,            0.007261
                  85,            0.044574,             0.04081,            0.021539,             0.66935,             0.53349,              0.5933,             0.36412,            0.043747,            0.019696,            0.016797,            0.007228,            0.007228,            0.007228
                  86,            0.044621,            0.040382,            0.021457,             0.67284,             0.53226,             0.59417,             0.36442,            0.043726,            0.019687,            0.016772,            0.007195,            0.007195,            0.007195
                  87,            0.044357,             0.04055,            0.021564,             0.67364,             0.53329,             0.59516,             0.36519,            0.043703,            0.019677,            0.016745,            0.007162,            0.007162,            0.007162
                  88,            0.044409,            0.040697,             0.02131,             0.67246,             0.53384,             0.59589,             0.36554,            0.043682,            0.019668,            0.016719,            0.007129,            0.007129,            0.007129
                  89,            0.044588,            0.040781,            0.020976,             0.67351,             0.53425,             0.59657,             0.36601,            0.043659,            0.019659,            0.016691,            0.007096,            0.007096,            0.007096
                  90,            0.044225,            0.040571,            0.020908,             0.67276,             0.53447,             0.59704,             0.36636,            0.043635,            0.019651,            0.016662,            0.007063,            0.007063,            0.007063
                  91,            0.044262,            0.040577,            0.021147,             0.67491,             0.53475,             0.59779,             0.36672,            0.043613,            0.019644,            0.016635,             0.00703,             0.00703,             0.00703
                  92,            0.044419,            0.040474,            0.021371,             0.67448,             0.53489,             0.59835,             0.36719,            0.043588,            0.019637,             0.01661,            0.006997,            0.006997,            0.006997
                  93,              0.0443,            0.040495,            0.020793,             0.67462,             0.53582,               0.599,             0.36795,            0.043563,            0.019629,             0.01659,            0.006964,            0.006964,            0.006964
                  94,            0.044229,            0.040701,            0.021134,             0.67607,             0.53534,             0.59979,             0.36861,            0.043541,            0.019621,            0.016572,            0.006931,            0.006931,            0.006931
